"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"theta[1]",0.687448291347434,0.695113681104833,0.702414530008484,51257.7,0.95,0.468208918302519,0.892896940592527,0.5,94.176,0.45,0.55,2.5,9.51600000000001,87.984
"theta[2]",0.734423209302432,0.736960287859088,0.741848256388242,50000,0.95,0.626300709888549,0.838877797656118,0.5,99.99,0.45,0.55,0,0.103999999999999,99.896
"theta[3]",0.31296252597498,0.304848670409325,0.284305471968959,50000,0.95,0.103484538860023,0.531505596472017,0.5,5.912,0.45,0.55,87.824,9.524,2.652
"theta[1]-theta[2]",-0.0469749179549979,-0.0411927568663351,-0.0385905027070802,50000,0.95,-0.29264803913855,0.18999514127024,0,37.18,-0.05,0.05,47.168,29.99,22.842
"theta[1]-theta[3]",0.374485765372453,0.382151683700244,0.406627554094407,50786.7,0.95,0.0565541798717452,0.670298239815757,0,98.624,-0.05,0.05,0.632,2.012,97.356
"theta[2]-theta[3]",0.421460683327451,0.428099953111193,0.441586019252548,50000,0.95,0.173712140632724,0.655538168037337,0,99.914,-0.05,0.05,0.018,0.233999999999995,99.748
