"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"theta[1]",0.498332625207085,0.497555094713156,0.0285446066960012,50000,0.95,1.01154187460145e-09,0.993952552815069,NA,NA,NA,NA,NA,NA,NA
"theta[2]",0.499357426815296,0.499681901057481,0.0287558325126463,50000,0.95,7.43031999559052e-11,0.993805901443364,NA,NA,NA,NA,NA,NA,NA
"theta[1]-theta[2]",-0.0010248016082111,-0.00117974992640105,-0.00223624354669671,50000,0.95,-0.897692251589427,0.949009192118228,0,49.798,NA,NA,NA,NA,NA
